Player,Nation,Weekly Wage,,Yearly Salary,,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90,Team
Álex Moreno,es ESP,"£90,000",,"£4,680,000",,DF,30,21,11,1031,11.5,2,0,2,2,0,0,2,0,1.1,1.1,1.1,2.3,32,24,83,0.17,0,0.17,0.17,0.17,0.1,0.1,0.2,0.1,0.2,Aston Villa
Đorđe Petrović,rs SRB,"£70,000",,"£3,640,000",,GK,23,23,22,1987,22.1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Chelsea
Łukasz Fabiański,pl POL,"£60,000",,"£3,120,000",,GK,38,10,7,721,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,West Ham United
Aaron Cresswell,eng ENG,"£53,000",,"£2,756,000",,"DF,FW",33,11,4,436,4.8,0,0,0,0,0,0,1,0,0,0,0.4,0.4,4,26,6,0,0,0,0,0,0,0.09,0.09,0,0.09,West Ham United
Aaron Hickey,sct SCO,"£35,000",,"£1,820,000",,DF,21,9,9,713,7.9,0,0,0,0,0,0,5,0,0.2,0.2,0.1,0.3,9,21,13,0,0,0,0,0,0.03,0.01,0.04,0.03,0.04,Brentford
Aaron Ramsdale,eng ENG,"£83,000",,"£4,316,000",,GK,25,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,Arsenal
Aaron Ramsey,eng ENG,"£28,000",,"£1,456,000",,"MF,FW",20,14,5,527,5.9,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,8,17,0,0,0,0,0,0.06,0.07,0.13,0.06,0.13,Burnley
Aaron Wan-Bissaka,eng ENG,"£100,000",,"£5,200,000",,DF,25,22,20,1780,19.8,0,2,2,0,0,0,4,0,0.1,0.1,1.5,1.6,30,77,54,0,0.1,0.1,0,0.1,0.01,0.08,0.08,0.01,0.08,Manchester United
Abdoulaye Doucouré,ml MLI,"£120,000",,"£6,240,000",,"FW,MF",30,32,32,2629,29.2,7,1,8,7,0,0,7,0,8.8,8.8,2.9,11.6,55,97,140,0.24,0.03,0.27,0.24,0.27,0.3,0.1,0.4,0.3,0.4,Everton
Adam Lallana,eng ENG,"£70,000",,"£3,640,000",,"MF,FW",35,25,13,850,9.4,0,1,1,0,0,0,2,0,0.8,0.8,1.7,2.5,9,39,55,0,0.11,0.11,0,0.11,0.09,0.18,0.27,0.09,0.27,Brighton
